Introducing contestants...
* Player 1, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
* Player 2, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
cycle 62, carriage 1, op_code 11, car pos 2125
cycle 62, carriage 0, op_code 11, car pos 77

cycle 63, carriage 1, op_code 11, car pos 2125
cycle 63, carriage 0, op_code 11, car pos 77

cycle 64, carriage 1, op_code 11, car pos 2125
cycle 64, carriage 0, op_code 11, car pos 77

cycle 65, carriage 1, op_code 11, car pos 2125
cycle 65, carriage 0, op_code 11, car pos 77

cycle 66, carriage 1, op_code 1, car pos 2132
cycle 66, carriage 0, op_code 1, car pos 84

cycle 67, carriage 1, op_code 1, car pos 2132
cycle 67, carriage 0, op_code 1, car pos 84

cycle 68, carriage 1, op_code 1, car pos 2132
cycle 68, carriage 0, op_code 1, car pos 84

cycle 69, carriage 1, op_code 1, car pos 2132
cycle 69, carriage 0, op_code 1, car pos 84

cycle 70, carriage 1, op_code 1, car pos 2132
cycle 70, carriage 0, op_code 1, car pos 84

cycle 71, carriage 1, op_code 1, car pos 2132
cycle 71, carriage 0, op_code 1, car pos 84

cycle 72, carriage 1, op_code 1, car pos 2132
cycle 72, carriage 0, op_code 1, car pos 84

cycle 73, carriage 1, op_code 1, car pos 2132
cycle 73, carriage 0, op_code 1, car pos 84

cycle 74, carriage 1, op_code 1, car pos 2132
cycle 74, carriage 0, op_code 1, car pos 84

cycle 75, carriage 1, op_code 1, car pos 2132
A process shows that player 2 (Jumper !) is alive
cycle 75, carriage 0, op_code 1, car pos 84
A process shows that player 1 (Jumper !) is alive

cycle 76, carriage 1, op_code 11, car pos 2137
cycle 76, carriage 0, op_code 11, car pos 89

cycle 77, carriage 1, op_code 11, car pos 2137
cycle 77, carriage 0, op_code 11, car pos 89

cycle 78, carriage 1, op_code 11, car pos 2137
cycle 78, carriage 0, op_code 11, car pos 89

cycle 79, carriage 1, op_code 11, car pos 2137
cycle 79, carriage 0, op_code 11, car pos 89

cycle 80, carriage 1, op_code 11, car pos 2137
cycle 80, carriage 0, op_code 11, car pos 89

cycle 81, carriage 1, op_code 11, car pos 2137
cycle 81, carriage 0, op_code 11, car pos 89

cycle 82, carriage 1, op_code 11, car pos 2137
cycle 82, carriage 0, op_code 11, car pos 89

cycle 83, carriage 1, op_code 11, car pos 2137
cycle 83, carriage 0, op_code 11, car pos 89

cycle 84, carriage 1, op_code 11, car pos 2137
cycle 84, carriage 0, op_code 11, car pos 89

cycle 85, carriage 1, op_code 11, car pos 2137
cycle 85, carriage 0, op_code 11, car pos 89

cycle 86, carriage 1, op_code 11, car pos 2137
cycle 86, carriage 0, op_code 11, car pos 89

cycle 87, carriage 1, op_code 11, car pos 2137
cycle 87, carriage 0, op_code 11, car pos 89

cycle 88, carriage 1, op_code 11, car pos 2137
cycle 88, carriage 0, op_code 11, car pos 89

cycle 89, carriage 1, op_code 11, car pos 2137
cycle 89, carriage 0, op_code 11, car pos 89

cycle 90, carriage 1, op_code 11, car pos 2137
cycle 90, carriage 0, op_code 11, car pos 89

cycle 91, carriage 1, op_code 11, car pos 2137
cycle 91, carriage 0, op_code 11, car pos 89

cycle 92, carriage 1, op_code 11, car pos 2137
cycle 92, carriage 0, op_code 11, car pos 89

cycle 93, carriage 1, op_code 11, car pos 2137
cycle 93, carriage 0, op_code 11, car pos 89

cycle 94, carriage 1, op_code 11, car pos 2137
cycle 94, carriage 0, op_code 11, car pos 89

cycle 95, carriage 1, op_code 11, car pos 2137
cycle 95, carriage 0, op_code 11, car pos 89

cycle 96, carriage 1, op_code 11, car pos 2137
cycle 96, carriage 0, op_code 11, car pos 89

cycle 97, carriage 1, op_code 11, car pos 2137
cycle 97, carriage 0, op_code 11, car pos 89

cycle 98, carriage 1, op_code 11, car pos 2137
cycle 98, carriage 0, op_code 11, car pos 89

cycle 99, carriage 1, op_code 11, car pos 2137
cycle 99, carriage 0, op_code 11, car pos 89

cycle 100, carriage 1, op_code 11, car pos 2137
cycle 100, carriage 0, op_code 11, car pos 89

cycle 101, carriage 1, op_code 2, car pos 2144
cycle 101, carriage 0, op_code 2, car pos 96

cycle 102, carriage 1, op_code 2, car pos 2144
cycle 102, carriage 0, op_code 2, car pos 96

cycle 103, carriage 1, op_code 2, car pos 2144
cycle 103, carriage 0, op_code 2, car pos 96

cycle 104, carriage 1, op_code 2, car pos 2144
cycle 104, carriage 0, op_code 2, car pos 96

cycle 105, carriage 1, op_code 2, car pos 2144
